X,Y
384291.3201622861,6682046.775092609
460493.08759469696,6746934.525568182
413819.42883895134,7344222.720973783
464640.2680776014,7055180.647266313
227669.48681996635,6808675.427930455
558664.6583011583,7130926.496138996
643352.5405405406,6942823.936936937
320794.043128964,6818532.886257928
359142.18932874355,6743033.3416523235
260656.37654723128,6978342.89771987
534162.6763285024,6960290.115942028
253670.72717806319,6711782.1686914265
552356.368852459,6814906.31030445
427673.9474979492,6904472.041017228
428336.98967297765,7204294.222891566
436450.08715596335,7531343.940366973
321944.3193960511,7073034.0638792105
559446.3911111112,7342776.2
